Timestamp,X,Y,Z
91.462,-0.18624958,-0.3169969,9.650118
91.482,-0.18651941,-0.31724,9.65035
91.502,-0.18716966,-0.3173632,9.650891
91.523,-0.18739317,-0.31735343,9.650615
91.543,-0.18790463,-0.31702197,9.651066
91.563,-0.18821877,-0.31701103,9.650499
91.583,-0.18900514,-0.31681648,9.651598
91.604,-0.18925631,-0.31662852,9.6507225
91.624,-0.18961294,-0.31685296,9.650895
91.644,-0.18992881,-0.3173193,9.650907
91.664,-0.19102691,-0.31788495,9.650996
91.685,-0.19130787,-0.3180887,9.650936
91.705,-0.1916593,-0.3180829,9.650438
91.725,-0.19177347,-0.31786433,9.650781
91.745,-0.19216925,-0.31778473,9.65107
91.766,-0.19240639,-0.3180766,9.651539
91.786,-0.19304407,-0.31781557,9.651579
91.806,-0.19359675,-0.31771117,9.651549
91.826,-0.1938169,-0.3173631,9.65054
91.847,-0.19425896,-0.31704965,9.6509
91.867,-0.19416419,-0.3167016,9.649909
91.887,-0.19513384,-0.3166012,9.650716
91.907,-0.19468994,-0.3163816,9.64983
91.928,-0.19483237,-0.31644854,9.649364
91.948,-0.19529735,-0.31647608,9.649777
91.968,-0.1955771,-0.31659365,9.6476755
91.989,-0.19545922,-0.31637996,9.647925
92.009,-0.19540612,-0.31658745,9.647361
92.029,-0.19561645,-0.3165503,9.647696
92.05,-0.19588616,-0.31614128,9.648579
92.07,-0.19537628,-0.31578872,9.647208
92.09,-0.1951966,-0.315849,9.647035
92.11,-0.19448853,-0.31582984,9.647068
92.131,-0.1946109,-0.31613278,9.647494
92.151,-0.19413811,-0.31601524,9.646906
92.171,-0.1941643,-0.3160098,9.6481495
92.192,-0.19350357,-0.3160816,9.646956
92.212,-0.19331639,-0.3161673,9.646739
92.232,-0.19287483,-0.3166819,9.646519
92.252,-0.19257663,-0.31675223,9.646185
92.273,-0.19257064,-0.31714362,9.647042
92.293,-0.19265187,-0.3170899,9.647471
92.313,-0.19211754,-0.31678045,9.647641
92.333,-0.19141361,-0.31668317,9.647124
92.354,-0.19065857,-0.31652004,9.646613
92.374,-0.18982285,-0.31678173,9.647011
92.394,-0.18911152,-0.3165868,9.647573
92.414,-0.18885553,-0.3165455,9.6471815
92.435,-0.18827365,-0.31646886,9.647367
92.455,-0.18781456,-0.31625882,9.646548
92.475,-0.1872462,-0.31557772,9.647377
92.496,-0.18653955,-0.3155133,9.647509
92.516,-0.186112,-0.315395,9.648276
92.536,-0.18593329,-0.31570128,9.649353
92.556,-0.18580699,-0.31602603,9.6499
92.577,-0.1851378,-0.3161811,9.650032
92.597,-0.18474454,-0.31621218,9.649975
92.617,-0.18442598,-0.3154447,9.650295
92.638,-0.18371978,-0.31503052,9.650351
92.658,-0.18328317,-0.3142178,9.650464
92.678,-0.18278593,-0.3131386,9.649999
92.698,-0.18269955,-0.3125469,9.65012
92.719,-0.18287143,-0.3117917,9.650398
92.739,-0.18287376,-0.31102565,9.65
92.759,-0.18317647,-0.31021553,9.649415
92.779,-0.18293023,-0.30959907,9.649071
92.8,-0.18323313,-0.30910847,9.648842
92.82,-0.18375413,-0.30868822,9.648274
92.84,-0.18394789,-0.30852914,9.647238
92.86,-0.18435407,-0.30811745,9.646534
92.881
92.901,-0.1857248,-0.30810204,9.646445
92.921,-0.18699218,-0.3077063,9.64655
92.941,-0.18754257,-0.30779183,9.646344
92.962,-0.18806694,-0.3076508,9.6456175
92.982,-0.18927717,-0.30787,9.646237
93.002,-0.18886372,-0.30851683,9.645278
93.023,-0.19038005,-0.30862328,9.645293
